Average Latency,Min Latency,Time to Min Latency,Max Latency,Std Dev,Median Latency,Latency Range,Simulation
105.08093994778068,0,380,491,110.88976757119552,50.0,491,100v-8nodes-predictive.json
31.850136239782017,0,180,495,74.55171596822251,0.0,495,100v-6nodes-reactive.json
106.11080332409972,40,357,510,82.97883879953699,57.0,470,100v-2nodes-reactive.json
103.84455958549223,19,385,543,91.72257258153178,64.0,524,100v-3nodes-reactive.json
214.22222222222223,151,358,427,56.617521974128024,198.0,276,100v-1node-reactive.json
146.02459016393442,17,268,535,111.62354515075819,99.0,518,100v-5nodes-predictive.json
18.429752066115704,0,21,582,84.11273937117966,0.0,582,100v-8nodes-reactive.json
170.85675675675677,48,356,457,95.2203464870656,152.0,409,100v-2nodes-predictive.json
37.76243093922652,0,204,524,78.19535818525033,7.0,524,100v-5nodes-reactive.png.json
145.79679144385025,7,370,463,127.44152374164308,96.0,456,100v-4nodes-predictive.json
105.13821138211382,0,283,531,121.7401673471217,41.0,531,100v-7nodes-predictive.json
5.564864864864865,0,18,540,39.53664360629347,0.0,540,100v-7nodes-reactive.json
94.710027100271,21,346,556,96.73273878292146,48.0,535,100v-4nodes-reactive.json
123.10242587601078,12,281,588,129.16279386272018,51.0,576,100v-6nodes-predictive.json
175.27397260273972,62,352,516,102.24054004896855,157.0,454,100v-3nodes-predictive.json
221.3240997229917,135,360,576,89.52195696420594,193.0,441,100v-1node-predictive.json
